doc,type,topic,count
1,801,35,33
1,802,19,33
1,803,39,33
1,804,29,33
1,805,29,33
1,806,39,33
1,807,25,33
1,808,29,33
1,809,12,33
1,810,14,33
1,811,16,33
1,812,17,33
1,813,2,33
1,814,20,33
1,815,16,33
1,816,2,33
1,817,22,33
1,818,35,33
1,819,2,33
1,820,6,33
1,821,29,33
1,822,36,33
1,823,38,32
1,824,16,32
1,825,35,32
1,826,12,32
1,827,36,32
1,828,8,32
1,829,29,32
1,830,39,32
1,831,14,32
1,832,28,32
1,833,12,32
1,834,25,32
1,835,20,32
1,836,36,32
1,837,29,32
1,838,22,32
1,839,2,32
1,840,2,32
1,841,12,32
1,842,22,31
1,843,16,31
1,844,38,31
1,845,29,31
1,846,36,31
1,847,32,31
1,848,22,31
1,849,16,31
1,850,31,31
1,851,20,31
1,852,35,31
1,853,2,31
1,854,25,31
1,855,12,31
1,856,14,31
1,857,29,31
1,858,2,34
1,859,2,31
1,860,36,31
1,861,22,31
1,862,8,32
1,863,20,31
1,864,2,31
1,865,29,30
1,866,29,30
1,867,38,30
1,868,20,30
1,869,15,30
1,870,29,30
1,871,16,30
1,872,20,30
1,873,29,30
1,874,6,30
1,875,19,30
1,876,7,30
1,877,35,30
1,878,39,30
1,879,16,30
1,880,12,30
1,881,28,30
1,882,32,30
1,883,29,30
1,884,2,30
1,885,14,30
1,886,36,30
1,887,16,30
1,888,29,30
1,889,28,30
1,890,12,30
1,891,6,30
1,892,39,30
1,893,2,30
1,894,38,29
1,895,28,29
1,896,36,29
1,897,12,29
1,898,20,29
1,899,8,29
1,900,34,29
1,901,29,29
1,902,39,29
1,903,28,29
1,904,2,29
1,905,36,29
1,906,2,29
1,907,6,29
1,908,28,29
1,909,39,29
1,910,38,30
1,911,34,29
1,912,28,29
1,913,29,29
1,914,28,29
1,915,39,29
1,916,2,28
1,917,29,28
1,918,36,28
1,919,2,28
1,920,29,28
1,921,38,28
1,922,8,28
1,923,39,28
1,924,20,28
1,925,14,28
1,926,22,28
1,927,2,28
1,928,38,28
1,929,29,28
1,930,39,28
1,931,39,28
1,932,29,28
1,933,35,28
1,934,31,28
1,935,31,28
1,936,15,28
1,937,29,28
1,938,38,28
1,939,12,28
1,940,28,28
1,941,16,28
1,942,20,28
1,943,6,28
1,944,35,28
1,945,29,28
1,946,38,28
1,947,36,28
1,948,2,28
1,949,38,27
1,950,33,27
1,951,39,27
1,952,8,27
1,953,35,27
1,954,8,27
1,955,31,27
1,956,20,27
1,957,6,27
1,958,22,27
1,959,2,27
1,960,38,27
1,961,31,27
1,962,36,27
1,963,22,27
1,964,22,27
1,965,16,27
1,966,22,27
1,967,8,27
1,968,6,27
1,969,25,28
1,970,35,27
1,971,25,27
1,972,38,27
1,973,38,27
1,974,8,27
1,975,38,27
1,976,2,27
1,977,6,27
1,978,39,27
1,979,8,27
1,980,36,27
1,981,2,27
1,982,31,27
1,983,14,26
1,984,12,26
1,985,15,26
1,986,16,26
1,987,31,26
1,988,31,26
1,989,36,26
1,990,6,30
1,991,16,26
1,992,7,26
1,993,12,26
1,994,38,26
1,995,38,26
1,996,22,26
1,997,29,26
1,998,36,26
1,999,31,26
1,1000,38,26
1,1001,20,26
1,1002,25,26
1,1003,21,26
1,1004,39,27
1,1005,39,26
1,1006,39,26
1,1007,22,26
1,1008,29,26
1,1009,22,26
1,1010,2,26
1,1011,25,26
1,1012,2,26
1,1013,36,26
1,1014,36,26
1,1015,35,26
